Image+AF8-Name,DOMAIN,REP,xx,yy,R,G,B,Y
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,288,89,74,95,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,96,79,62,55,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,288,103,104,99,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,224,75,67,46,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,416,149,133,143,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,480,105,98,106,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,480,143,135,150,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,160,115,103,113,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,288,103,82,91,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,96,106,85,90,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,352,103,98,102,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,224,94,74,83,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,416,63,48,55,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,32,99,80,76,2
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,32,109,140,81,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,352,70,96,49,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,352,114,135,96,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,160,145,146,80,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,224,161,153,55,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,288,154,158,133,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,96,121,138,83,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,32,153,157,134,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,96,104,126,64,1
0+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,480,129,152,108,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,480,46,82,36,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,416,168,189,156,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,416,163,162,132,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,352,117,142,74,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,32,91,113,66,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,352,142,169,124,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,416,121,140,95,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,160,173,189,153,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,352,91,106,63,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,160,123,144,75,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,480,176,203,160,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,288,149,180,138,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,480,68,100,53,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,96,97,128,84,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,32,120,120,118,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,96,95,92,83,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,416,230,229,209,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,416,182,161,158,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,32,64,75,59,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,224,53,54,48,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,32,207,209,204,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,288,100,88,88,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,96,237,219,217,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,352,187,173,170,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,224,126,124,111,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,224,106,99,93,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,160,111,104,96,2
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,96,49,80,48,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,96,126,115,97,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,32,152,162,154,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,160,106,122,85,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,288,90,105,72,1
1+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,480,96,154,169,126,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,32,201,182,103,0
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,288,24,39,16,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,32,26,38,26,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,480,111,105,47,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,416,137,144,77,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,32,75,89,54,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,32,49,55,27,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,32,29,41,21,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,32,55,66,23,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,32,178,184,96,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,32,214,164,141,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,96,38,53,24,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,480,48,65,46,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,480,288,64,70,24,1
10+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,480,416,26,37,20,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,160,106,110,49,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,416,45,60,39,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,160,144,106,41,0
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,160,255,230,119,0
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,480,129,137,64,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,224,172,171,115,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,416,125,133,47,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,480,167,170,103,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,288,130,145,64,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,480,55,66,26,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,160,139,144,80,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,416,111,120,57,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,352,124,127,58,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,32,255,219,112,0
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,416,120,128,43,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,96,182,150,93,0
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,224,142,141,48,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,288,132,133,76,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,480,137,130,58,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,96,133,135,86,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,352,154,163,84,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,96,36,40,15,2
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,96,20,24,9,2
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,224,122,130,53,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,224,70,72,33,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,416,133,136,65,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,416,122,122,58,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,288,90,93,38,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,480,133,136,67,1
11+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,32,144,140,77,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,352,199,155,106,0
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,224,112,105,61,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,416,171,154,85,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,352,215,213,152,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,288,194,180,119,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,32,183,180,111,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,480,156,150,64,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,160,103,110,79,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,480,95,102,35,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,352,250,238,212,0
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,224,102,111,48,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,96,177,179,104,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,416,70,72,35,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,352,37,52,23,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,160,48,38,26,2
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,160,81,80,26,2
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,352,33,47,22,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,160,184,180,117,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,96,204,188,113,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,160,65,56,13,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,96,185,175,88,1
12+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,288,183,183,123,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,96,39,47,6,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,288,135,146,70,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,224,149,151,76,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,352,98,115,44,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,480,45,61,22,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,480,73,89,18,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,480,89,110,43,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,480,81,102,35,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,352,110,126,55,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,416,193,184,125,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,416,69,86,34,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,32,51,55,32,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,480,116,132,69,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,352,71,93,29,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,288,125,139,60,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,480,68,89,22,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,352,30,44,19,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,224,70,89,34,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,480,43,70,19,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,160,137,137,63,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,288,123,126,71,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,352,104,112,53,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,224,46,66,29,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,160,38,44,6,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,288,128,106,57,2
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,224,56,44,22,2
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,352,76,75,27,2
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,352,219,187,130,2
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,416,68,57,27,2
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,96,36,52,23,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,352,187,185,111,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,288,36,42,14,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,480,480,197,169,69,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,32,223,202,74,0
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,32,37,52,9,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,160,66,86,51,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,160,206,203,160,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,416,64,95,19,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,416,184,184,120,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,224,136,145,64,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,480,32,38,57,12,1
13+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,32,128,135,65,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,96,36,54,16,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,480,132,131,64,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,480,117,124,46,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,32,125,111,74,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,96,110,113,42,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,160,45,51,23,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,224,221,173,89,0
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,32,118,130,30,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,352,143,137,59,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,160,88,89,49,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,480,54,63,20,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,32,133,119,56,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,480,97,101,40,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,224,103,115,41,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,480,124,126,42,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,160,87,89,52,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,96,81,97,34,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,416,211,202,123,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,416,51,60,17,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,32,157,161,64,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,288,172,164,92,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,480,113,108,50,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,224,141,132,73,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,288,223,209,162,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,352,197,191,105,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,416,175,162,92,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,480,416,178,175,80,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,224,107,106,50,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,352,198,194,121,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,160,192,183,106,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,288,142,145,74,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,352,230,209,90,1
14+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,96,206,199,118,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,352,61,76,21,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,96,155,157,60,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,480,77,80,13,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,32,154,170,61,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,224,79,99,40,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,352,113,115,32,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,224,171,171,71,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,160,96,118,9,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,96,175,190,121,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,480,63,74,14,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,352,96,60,95,15,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,32,224,98,98,34,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,32,191,184,68,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,352,122,120,37,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,480,81,103,39,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,224,175,183,61,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,96,129,151,51,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,288,83,121,20,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,160,28,46,0,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,32,135,116,24,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,96,42,68,7,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,32,160,169,183,62,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,160,416,173,155,109,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,224,416,142,159,53,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,480,255,249,181,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,416,480,114,125,56,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,96,416,246,243,202,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,352,32,112,126,38,1
15+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TRAIN,288,32,200,196,96,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,288,64,88,12,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,416,123,116,26,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,160,124,127,58,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,352,42,65,9,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,416,38,58,7,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,416,52,74,12,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,352,30,59,11,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,288,120,131,35,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,480,51,69,7,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,160,32,42,62,11,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,32,89,98,15,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,288,416,37,49,13,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,32,165,157,46,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,416,96,102,109,39,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,160,65,83,25,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,480,480,30,45,2,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,224,288,187,180,100,1
16+AF8-Selec+AC0-100+AC0-dhp+AC0-round2,P2S2,TEST,96,224,106,111,21,1
